"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","country","datasetID","dynamicProperties","family","genus","higherClassification","higherGeography","individualCount","infraspecificEpithet","institutionCode","kingdom","locality","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","subgenus","typeStatus","year"
"8270820","Occurrence","20180125","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518193378000, ""gbifID"": ""1826441541"", ""barcode"": ""013575632"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Murex pomum Gmelin, 1791""}","","Murex","","","1","","NHMUK","","Bahamas","1612302368000","63b48e99-fb7a-4c27-adea-094821a323c4","present","","NHMUK:ecatalogue:8270820","","","Murex pomum Gmelin, 1791","Gmelin, 1791","pomum","","",""
"2756084","Occurrence","19990432","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1371739106000, ""gbifID"": ""1057287411"", ""barcode"": ""011310888"", ""subDepartment"": ""LS Mollusca"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Loligo magna J.E. Gray, 1849"", ""associatedMediaCount"": 1}","","Loligo","","","1","","NHMUK","","","1612303531000","6d0cac9c-4144-4be7-abdd-0def26ebaa9f","present","","NHMUK:ecatalogue:2756084","","","Loligo magna J.E. Gray, 1849","J.E. Gray, 1849","magna","","SYNTYPE",""
"9267186","Occurrence","20201198","Cephalopoda","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611747734000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Nautilus""}","","Nautilus","Mollusca; Cephalopoda","","1","","NHMUK","","","1612290963000","eceeb090-e86f-4d7d-85ee-f0d44fe64052","present","","NHMUK:ecatalogue:9267186","Mollusca","","Nautilus","","","","",""
"9267415","Occurrence","20201339","Cephalopoda","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611763548000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MO19"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""collectionName"": ""Sloane Collection"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Nautilus""}","","Nautilus","Mollusca; Cephalopoda","","1","","NHMUK","","","1612303636000","dcee37e9-0642-4917-bc33-1e8583e64bdc","present","","NHMUK:ecatalogue:9267415","Mollusca","","Nautilus","","","","","1951"
"9264410","Occurrence","20200950","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1610376039000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum""}","","","","","1","","NHMUK","","","1612297264000","6f7e0ed0-db23-41ab-88cd-1993533b5bee","present","","NHMUK:ecatalogue:9264410","","","","","","","",""
"9264411","Occurrence","20200951","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1610376122000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Cymbium sp.""}","","Cymbium","Mollusca","","2","","NHMUK","","","1612301800000","92046d53-6625-4de2-9434-3a135a2faca2","present","","NHMUK:ecatalogue:9264411","Mollusca","","Cymbium sp.","","sp.","","",""
"9264430","Occurrence","20200970","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1610376843000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Patella compressa Linnaeus, 1758""}","","Patella","","","1","","NHMUK","","","1612301845000","4c00ab3b-5d95-4085-8f7d-8296d4bc6faa","present","","NHMUK:ecatalogue:9264430","","","Patella compressa Linnaeus, 1758","Linnaeus, 1758","compressa","","",""
"9264437","Occurrence","20200977","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1610376986000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Strombus costatus Gmelin, J.F., 1791""}","","Strombus","","","1","","NHMUK","","","1612297263000","20f05fb4-5fb7-4d5f-bbf7-df2675a85603","present","","NHMUK:ecatalogue:9264437","","","Strombus costatus Gmelin, J.F., 1791","Gmelin, J.F., 1791","costatus","","",""
"9264446","Occurrence","20200986","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1610377159000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Busycon canaliculata (Linnaeus, 1758)""}","","Busycon","Animalia; Mollusca","","1","","NHMUK","Animalia","","1612301804000","b127e21b-a77a-4289-a000-668c6a44896e","present","","NHMUK:ecatalogue:9264446","Mollusca","","Busycon canaliculata (Linnaeus, 1758)","(Linnaeus, 1758)","canaliculata","","",""
"9264451","Occurrence","20200991","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1610377308000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Murex sp.""}","","Murex","","","1","","NHMUK","","","1612301847000","65f3da49-d620-474d-ae65-ee2ad1ddf52f","present","","NHMUK:ecatalogue:9264451","","","Murex sp.","","sp.","","",""
