"_id","basisOfRecord","catalogNumber","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","decimalLatitude","decimalLongitude","dynamicProperties","fieldNumber","higherGeography","institutionCode","islandGroup","locality","modified","occurrenceID","occurrenceStatus","otherCatalogNumbers","scientificName","specificEpithet","stateProvince","typeStatus","verbatimLatitude","verbatimLongitude"
"79724","Occurrence","BM.58360","MIN","South America","1643.197334","Brazil","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862662000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz (silvery chlorite)""}","","South America; Brazil","NHMUK","","","1643647845000","57f0fdd2-d9cf-421e-8f03-1f13bea8a6e3","present","NHMUK:ecatalogue:79724","","","","","",""
"79750","Occurrence","BM.58385a","MIN","South America","1643.197334","Brazil","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862666000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz (rock-crystal)""}","","South America; Brazil","NHMUK","","","1643647877000","e042f832-dddd-4eab-b54f-6f1a3e14b279","present","NHMUK:ecatalogue:79750","","","","","",""
"79719","Occurrence","BM.58355","MIN","Africa","433.8553437","Madagascar","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862662000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz (mica & chlorite)""}","","Africa; Madagascar","NHMUK","","","1643822248000","e6dd4b5a-e45e-4098-916c-b3609200e6c5","present","NHMUK:ecatalogue:79719","","","","","",""
"79794","Occurrence","BM.58419","MIN","Europe","10","Switzerland","05ff2255-c38a-40c9-b657-4ccb55ab2feb","46.655092","8.729096","{""created"": 1127862672000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""mine"": ""Tujetsch""}","","Europe; Switzerland; Graubünden; Surselva","NHMUK","","Tujetsch","1642004337000","fd5ccdce-1a49-4635-8f33-3d80b3f1d3ec","present","NHMUK:ecatalogue:79794","Quartz","Quartz","Graubünden","","46 39 18.33 N","008 43 44.75 E"
"82543","Occurrence","BM.60871","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863049000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Pyrite ring""}","","","NHMUK","","unknown","1623074474000","d5d1156e-f54f-494c-8127-b1c2666de8cd","present","NHMUK:ecatalogue:82543","","","","","",""
"82787","Occurrence","BM.61067","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863083000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Amber"", ""identificationDescription"": ""Amber vase representing the trunk of a tree.""}","","","NHMUK","","China","1608732519000","d5bb6fed-f417-41d6-8945-574ca5b75acd","present","NHMUK:ecatalogue:82787","Amber","Amber","","","",""
"82750","Occurrence","BM.61036","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863078000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Lazurite""}","","","NHMUK","","unknown","1623074476000","02525168-9c76-4ce3-a0ea-4ded75f0c1c6","present","NHMUK:ecatalogue:82750","Lazurite","Lazurite","","","",""
"82694","Occurrence","BM.60982c","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863070000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. jasper""}","","","NHMUK","","no locality","1608732120000","3d8f14bc-c64f-4dca-b0dc-876529b8bd1c","present","NHMUK:ecatalogue:82694","","","","","",""
"82791","Occurrence","BM.61071","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863083000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Amber"", ""identificationDescription"": ""two scent bottles.""}","Sloane 28","","NHMUK","","no locality","1608732519000","841af4db-f20e-4b58-8507-938c121b742c","present","NHMUK:ecatalogue:82791","Amber","Amber","","","",""
"79833","Occurrence","BM.58455c","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862678000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. rose quartz"", ""identificationDescription"": ""Pale rose quartz; faceted; clear. 4.052 gm.""}","78","","NHMUK","","no locality","1636734171000","5cd49863-3468-42c2-b881-45e22132b290","present","NHMUK:ecatalogue:79833","","","","","",""
